"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
6. <Am>--      said that no room had he","8. [Verse]
7. <Am>--      When I jumped aboard,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
7. <Am>--      When I jumped aboard,","8. [Verse]
8. <Am>--      a cabin found for Paddy"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
8. <Am>--      a cabin found for Paddy","8. [Verse]
9. <Am>--      Down among the pigs,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
9. <Am>--      Down among the pigs,","8. [Verse]
10. <Am>--      played some funny rigs"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
10. <Am>--      played some funny rigs","8. [Verse]
11. <Am>--      Danced some hearty jigs,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
11. <Am>--      Danced some hearty jigs,","8. [Verse]
12. <Am>--      the water 'round me bubblin'"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
12. <Am>--      the water 'round me bubblin'","8. [Verse]
13. <Am>--      Off to Holyhead,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
13. <Am>--      Off to Holyhead,","8. [Verse]
14. <Am>--      wished meself was dead"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
14. <Am>--      wished meself was dead","8. [Verse]
15. <Am>--      Or better far instead,"
"Jack O’Connell, Brian Dunphy & Darren Holden - Rocky Road to Dublin
8. [Verse]
15. <Am>--      Or better far instead,","8. [Verse]
16. <Am>--      on the rocky road to Dublin"
